verse,refrence
"Jesus looked at them and said, “With man this is impossible, but not with God; all things are possible with God.”",Mark 10:27
"Fixing our eyes on Jesus, the pioneer and perfecter of faith. For the joy set before him he endured the cross, scorning its shame, and sat down at the right hand of the throne of God.",Hebrews 12:2
"Then Jesus said, “Did I not tell you that if you believe, you will see the glory of God?”",John 11:40
"If anyone acknowledges that Jesus is the Son of God, God lives in them and they in God.",1 John 4:15
"In your relationships with one another, have the same mindset as Christ Jesus.",Philippians 2:5
"I give them eternal life, and they shall never perish; no one will snatch them out of my hand. My Father, who has given them to me, is greater than all; no one can snatch them out of my Father’s hand. I and the Father are one.",John 10:28-30
"But he was pierced for our transgressions,he was crushed for our iniquities;the punishment that brought us peace was on him,and by his wounds we are healed.",Isaiah 53:5
"Salvation is found in no one else, for there is no other name under heaven given to mankind by which we must be saved.",Acts 4:12
This is how God showed his love among us: He sent his one and only Son into the world that we might live through him.,1 John 4:9
"For where two or three gather in my name, there am I with them.",Matthew 18:20
"Jesus replied, “What is impossible with man is possible with God.”",Luke 18:27
But thanks be to God! He gives us the victory through our Lord Jesus Christ.,1 Corinthians 15:57
"If you declare with your mouth, “Jesus is Lord,” and believe in your heart that God raised him from the dead, you will be saved.",Romans 10:9
My command is this: Love each other as I have loved you.,John 15:12
Whoever does not take up their cross and follow me is not worthy of me.,Matthew 10:38
And my God will meet all your needs according to the riches of his glory in Christ Jesus.,Philippians 4:19
"For there is one God and one mediator between God and mankind, the man Christ Jesus.",1 Timothy 2:5
The grace of the Lord Jesus Christ be with your spirit.,Philemon 1:25
"And walk in the way of love, just as Christ loved us and gave himself up for us as a fragrant offering and sacrifice to God.",Ephesians 5:2
"When Jesus spoke again to the people, he said, “I am the light of the world. Whoever follows me will never walk in darkness, but will have the light of life.”",John 8:12
Jesus Christ is the same yesterday and today and forever.,Hebrews 13:8
But in your hearts revere Christ as Lord. Always be prepared to give an answer to everyone who asks you to give the reason for the hope that you have. But do this with gentleness and respect.,1 Peter 3:15
The grace of the Lord Jesus be with God’s people. Amen.,Revelation 22:21
"For we are God’s handiwork, created in Christ Jesus to do good works, which God prepared in advance for us to do.",Ephesians 2:10
"Surely he took up our painand bore our suffering,yet we considered him punished by God,stricken by him, and afflicted.",Isaiah 53:4
He must become greater; I must become less.,John 14:2
"Therefore, if anyone is in Christ, the new creation has come: The old has gone, the new is here!",Matthew 19:14
"I am the gate; whoever enters through me will be saved. They will come in and go out, and find pasture.",Colossians 3:15
"For just as each of us has one body with many members, and these members do not all have the same function, so in Christ we, though many, form one body, and each member belongs to all the others.",John 13:20
"For God did not send his Son into the world to condemn the world, but to save the world through him.",Philippians 2:6-8
"Instead, speaking the truth in love, we will grow to become in every respect the mature body of him who is the head, that is, Christ.",Luke 19:10
"“But what about you?” he asked. “Who do you say I am?” Simon Peter answered, “You are the Messiah, the Son of the living God.”",John 3:30
"If you love me, keep my commands.",2 Corinthians 5:17
"Jesus answered, “The work of God is this: to believe in the one he has sent.”",John 10:9
